user,lat,lng,timestamp
0,40.000031,116.326378,1238374328
0,40.006688,116.321805,1238374628
0,40.007437,116.320534,1238375068
0,40.007128,116.321381,1238384842
0,40.007452,116.318974,1238385142
0,40.007747,116.319932,1238385442
0,40.006267,116.326133,1238385782
0,40.00549,116.328816,1238390280
0,40.006619,116.317868,1238390580
0,40.009971,116.314969,1238391005
0,40.009586,116.315146,1238391305
0,40.006971,116.317555,1238391605
0,40.002356,116.326541,1238391905
0,40.000626,116.3274,1238392765
0,39.998644,116.32019,1238393065
0,39.997397,116.32224,1238393605
0,39.998487,116.319757,1238393905
0,40.000004,116.327193,1238405820
0,40.002662,116.325172,1238406120
0,40.011107,116.322836,1238406420
0,40.00964,116.322243,1238407705
0,40.007271,116.324126,1238408005
0,40.000569,116.326912,1238408305
0,39.999899,116.327505,1238428441
0,40.003366,116.324358,1238428741
0,40.00665,116.319546,1238429041
0,40.009824,116.315001,1238429341
0,40.007225,116.318037,1238459944
0,40.005438,116.321031,1238460399
0,39.998741,116.319905,1238460699
0,39.998487,116.31807,1238461359
0,39.998361,116.318307,1238461659
0,39.998325,116.321465,1238461959
0,39.996841,116.321943,1238462473
0,39.996656,116.321904,1238462773
0,39.996537,116.321997,1238463783
0,39.999874,116.327492,1238464110
0,39.999823,116.327349,1238471401
0,40.005754,116.32431,1238471701
0,40.010548,116.322154,1238472266
0,40.01001,116.322411,1238473176
0,40.006031,116.324227,1238473476
0,40.000096,116.327399,1238473776
0,39.999425,116.325204,1238489790
0,40.009834,116.324094,1238490090
0,40.010744,116.323254,1238491740
0,40.007343,116.321141,1238492040
0,40.000441,116.321779,1238492340
0,39.994008,116.322605,1238492640
0,39.99129,116.31667,1238492940
0,39.990619,116.317358,1238495015
0,39.990651,116.317308,1238495315
0,39.99067,116.317377,1238495615
0,39.990665,116.317306,1238495915
0,39.990706,116.317348,1238496215
0,39.99076,116.317248,1238496515
0,39.990648,116.317299,1238496815
0,39.990671,116.317251,1238499108
0,40.010742,116.312355,1238562367
0,40.010577,116.313273,1238562802
0,40.004751,116.318957,1238563102
0,40.000487,116.326874,1238563402
0,39.999769,116.327065,1238576213
0,40.005083,116.324255,1238576513
0,40.007947,116.319205,1238576913
0,40.008039,116.319585,1238577213
0,40.006461,116.316866,1238577513
0,40.006801,116.317153,1238578758
0,40.007723,116.319708,1238579058
0,40.008955,116.318273,1238579523
0,40.007644,116.319742,1238579823
0,40.007159,116.320626,1238581343
0,40.001503,116.321686,1238581643
0,40.007409,116.321086,1238617411
0,40.000102,116.327021,1238652452
0,39.999998,116.327329,1238665291
0,40.00298,116.324539,1238665591
0,40.010211,116.322482,1238665891
0,40.010512,116.322115,1238666366
0,40.010346,116.32205,1238666666
0,40.01042,116.322231,1238666971
0,40.009737,116.323036,1238667271
0,40.002925,116.325032,1238667571
0,40.0028,116.32082,1238671925
0,40.009462,116.315955,1238672225
0,40.009724,116.315014,1238672715
0,40.009017,116.317638,1238673015
0,40.007973,116.319739,1238673520
0,40.008443,116.319506,1238674065
0,40.007662,116.319699,1238685293
0,40.009892,116.314855,1238685593
0,40.010186,116.315018,1238685893
0,40.004979,116.320257,1238686193
0,40.00003,116.327149,1238686493
0,40.00152,116.311859,1238721417
0,40.005608,116.318007,1238721718
0,40.006372,116.317725,1238722018
0,40.006715,116.322996,1238731741
0,40.006289,116.325515,1238735675
0,40.008031,116.319691,1238735975
0,40.007793,116.319162,1238736275
0,40.008859,116.317808,1238736575
0,40.009627,116.315253,1238737250
0,40.00992,116.315151,1238737550
0,40.00959,116.31485,1238737850
0,40.004909,116.321104,1238738150
0,39.999905,116.327365,1238738450
0,39.999854,116.327144,1238744735
0,39.989266,116.326655,1238745035
0,39.984356,116.323457,1238745600
0,39.9846,116.326466,1238745900
0,39.985434,116.347351,1238746200
0,39.986565,116.387738,1238746500
0,39.982257,116.411251,1238746800
0,39.984218,116.417706,1238747100
0,39.977613,116.451382,1238747400
0,39.975647,116.469753,1238747700
0,40.016449,116.517132,1238748000
0,40.034641,116.585908,1238748300
0,40.052518,116.613648,1238748600
0,40.045578,116.599043,1238748900
0,40.077974,116.587331,1238749200
0,40.079506,116.587179,1238749600
0,40.080076,116.586281,1238749900
0,40.054606,116.583925,1238750200
0,40.028446,116.551133,1238750500
0,39.99511,116.490957,1238750800
0,39.976749,116.45302,1238751100
0,39.987495,116.41154,1238751400
0,39.986913,116.391285,1238751700
0,39.98564,116.346412,1238752000
0,39.985357,116.326625,1238752300
0,39.985634,116.321053,1238752600
0,39.991073,116.319041,1238752900
0,39.993059,116.320477,1238753200
0,39.997427,116.318977,1238753500
0,39.997568,116.317994,1238753800
0,40.004261,116.316829,1238754100
0,40.009076,116.317077,1238754400
0,40.010067,116.314978,1238754700
0,40.009703,116.315066,1238755305
0,40.009598,116.31532,1238755605
0,40.009396,116.315451,1238756365
0,40.00952,116.315176,1238756665
0,40.004912,116.329247,1238756980
0,40.009908,116.314856,1238757525
0,40.009655,116.315192,1238757825
0,40.009823,116.315024,1238758125
0,40.009617,116.314668,1238758425
0,40.008788,116.317695,1238758725
0,40.006514,116.317577,1238759165
0,40.007643,116.319548,1238759465
0,40.001294,116.320274,1238759935
0,40.007475,116.31946,1238760235
0,40.008502,116.319273,1238760550
0,40.008321,116.31938,1238760895
0,40.007423,116.319392,1238761195
0,40.006423,116.318516,1238761495
0,40.006767,116.317689,1238761955
0,40.009046,116.316321,1238762255
0,40.009645,116.315223,1238762555
0,40.01,116.315048,1238762855
0,40.009859,116.315257,1238763955
0,40.009706,116.315183,1238764255
0,40.009677,116.315083,1238764555
